date,Coal,Natural Gas (Dry),Crude Oil,Natural Gas Plant Liquids,Nuclear Electric Power,Hydroelectric Power,Geothermal Energy,Solar Energy,Wind Energy,Biomass Energy
1973 January,1.166486,1.908249,1.649833,0.210876,0.068103,0.272703,0.001491,0,0,0.129787
1973 February,1.086072,1.922543,1.525783,0.197822,0.064634,0.242199,0.001363,0,0,0.117338
1973 March,1.196571,1.86843,1.667094,0.217711,0.072494,0.26881,0.001412,0,0,0.129938
1973 April,1.11223,1.777561,1.616791,0.212524,0.06407,0.253185,0.001649,0,0,0.125636
1973 May,1.216978,1.859241,1.665377,0.21831,0.062111,0.26077,0.001537,0,0,0.129834
1973 June,1.103861,1.802065,1.603224,0.209742,0.073968,0.249859,0.001763,0,0,0.125611
1973 July,1.034037,1.841884,1.65724,0.218022,0.07589,0.23567,0.001869,0,0,0.129787
1973 August,1.319832,1.857199,1.648505,0.219387,0.084883,0.222077,0.001762,0,0,0.129918
1973 September,1.142385,1.803086,1.577362,0.211491,0.085724,0.179733,0.001492,0,0,0.125782
1973 October,1.285586,1.836779,1.658452,0.220444,0.081971,0.191723,0.00176,0,0,0.12997
1973 November,1.178337,1.825548,1.594008,0.215484,0.088773,0.210285,0.001889,0,0,0.125643
1973 December,1.149749,1.886808,1.629568,0.216966,0.087557,0.274435,0.002435,0,0,0.129824
1974 January,1.251148,1.895424,1.60631,0.211267,0.084855,0.304506,0.002154,0,0,0.130807
1974 February,1.16539,1.728512,1.484696,0.1941,0.090577,0.27995,0.001901,0,0,0.118091
1974 March,1.195337,1.860608,1.611977,0.216526,0.097966,0.290582,0.002165,0,0,0.130727
1974 April,1.268152,1.747968,1.55799,0.204048,0.079566,0.293702,0.002039,0,0,0.126583
1974 May,1.343967,1.813504,1.602122,0.210092,0.073242,0.294828,0.00204,0,0,0.130789
1974 June,1.120607,1.709056,1.527761,0.202612,0.079015,0.280695,0.001975,0,0,0.126611
1974 July,1.149793,1.784832,1.578667,0.205981,0.113953,0.276772,0.002191,0,0,0.130756
1974 August,1.209619,1.757184,1.564057,0.208339,0.137654,0.253175,0.002163,0,0,0.130763
1974 September,1.227477,1.723392,1.46907,0.197117,0.12288,0.225274,0.001999,0,0,0.126637
1974 October,1.41053,1.734656,1.548304,0.209647,0.121248,0.210955,0.00203,0,0,0.130718
1974 November,0.791646,1.697792,1.490971,0.203827,0.122819,0.222713,0.002414,0,0,0.126506
1974 December,0.940784,1.757184,1.533068,0.207613,0.148309,0.243428,0.00254,0,0,0.130674
1975 January,1.275523,1.737742,1.520203,0.201252,0.153503,0.263371,0.002117,0,0,0.127269
1975 February,1.198498,1.607054,1.395202,0.183607,0.140232,0.251317,0.002019,0,0,0.114942
1975 March,1.216907,1.697923,1.527123,0.204762,0.163893,0.293961,0.002277,0,0,0.127251
1975 April,1.237491,1.632579,1.471448,0.195439,0.146773,0.279947,0.002281,0,0,0.123139
1975 May,1.292673,1.649936,1.506504,0.198475,0.15158,0.291504,0.002475,0,0,0.127303
1975 June,1.298947,1.595823,1.465219,0.19677,0.140348,0.28531,0.00307,0,0,0.123241
1975 July,1.062764,1.637684,1.498766,0.200236,0.169294,0.268081,0.003091,0,0,0.127288
1975 August,1.197399,1.637684,1.48313,0.203754,0.174883,0.237557,0.003351,0,0,0.127321
1975 September,1.295192,1.565193,1.440656,0.188451,0.158543,0.215793,0.002954,0,0,0.12321
1975 October,1.39571,1.608075,1.496731,0.202873,0.161078,0.238068,0.003406,0,0,0.127312
1975 November,1.248596,1.580508,1.440349,0.195407,0.155988,0.256706,0.00331,0,0,0.12318
1975 December,1.269616,1.689755,1.483988,0.203272,0.183682,0.27299,0.003429,0,0,0.127277
1976 January,1.213441,1.70952,1.480073,0.194779,0.177844,0.273323,0.003403,0,0,0.145049
1976 February,1.239038,1.60752,1.384489,0.188579,0.158824,0.257277,0.0032,0,0,0.135695
1976 March,1.40428,1.67382,1.480148,0.198485,0.15458,0.278567,0.003426,0,0,0.145051
1976 April,1.363644,1.58508,1.405398,0.192179,0.121316,0.253482,0.003086,0,0,0.140363
1976 May,1.336766,1.63302,1.460788,0.1951,0.131784,0.267732,0.002949,0,0,0.145047
1976 June,1.377928,1.6014,1.408431,0.19093,0.174072,0.268088,0.003063,0,0,0.140405
1976 July,1.024087,1.63608,1.461264,0.195584,0.195628,0.273026,0.003311,0,0,0.145088
1976 August,1.239015,1.59732,1.458288,0.196147,0.202851,0.249759,0.00326,0,0,0.14511
1976 September,1.39756,1.52796,1.418036,0.190553,0.191006,0.213376,0.003173,0,0,0.140436
1976 October,1.357336,1.60038,1.44978,0.196698,0.191723,0.22099,0.003082,0,0,0.145114
1976 November,1.354684,1.59732,1.40585,0.192722,0.178235,0.208138,0.002597,0,0,0.140651
1976 December,1.345908,1.71156,1.449298,0.19529,0.233256,0.212507,0.002963,0,0,0.145364
1977 January,1.018424,1.699965,1.412172,0.189286,0.238556,0.219069,0.003232,0,0,0.15622
1977 February,1.122619,1.635642,1.321762,0.175363,0.211078,0.160329,0.002823,0,0,0.141176
1977 March,1.519874,1.711196,1.454512,0.206154,0.222619,0.209549,0.0032,0,0,0.156217
1977 April,1.380722,1.606033,1.417213,0.196719,0.213943,0.197287,0.002854,0,0,0.151161
1977 May,1.423046,1.652999,1.451839,0.197952,0.221834,0.197656,0.003081,0,0,0.156186
1977 June,1.436582,1.611138,1.409736,0.191103,0.23172,0.182303,0.003029,0,0,0.151153
1977 July,1.131161,1.635642,1.457215,0.196597,0.235032,0.177779,0.003204,0,0,0.15592
1977 August,1.315823,1.607054,1.493558,0.194575,0.244991,0.176863,0.002937,0,0,0.156081
1977 September,1.581361,1.56213,1.475474,0.18745,0.211395,0.173821,0.003144,0,0,0.15111
1977 October,1.542177,1.590718,1.541501,0.199446,0.205053,0.181908,0.003288,0,0,0.156172
1977 November,1.570311,1.569277,1.492792,0.192404,0.209548,0.215864,0.003303,0,0,0.151
1977 December,0.712642,1.686692,1.525963,0.199935,0.255994,0.240826,0.003288,0,0,0.155935
1978 January,0.526477,1.700711,1.50307,0.189389,0.282638,0.262529,0.003326,0,0,0.173128
1978 February,0.538357,1.609001,1.360355,0.171676,0.238869,0.232625,0.002854,0,0,0.156387
1978 March,0.889942,1.704787,1.567879,0.19351,0.245611,0.257965,0.002359,0,0,0.173136
1978 April,1.357373,1.627343,1.534251,0.190578,0.192342,0.265041,0.001989,0,0,0.167349
1978 May,1.566637,1.623267,1.586781,0.186186,0.223373,0.301188,0.001772,0,0,0.172923
1978 June,1.493086,1.583526,1.536849,0.186449,0.242728,0.263109,0.002179,0,0,0.16734
1978 July,1.220436,1.651799,1.574364,0.189589,0.273603,0.256107,0.002441,0,0,0.172912
1978 August,1.464208,1.617153,1.574712,0.189373,0.280082,0.232357,0.002871,0,0,0.173189
1978 September,1.316859,1.537671,1.531258,0.182053,0.242769,0.221801,0.003031,0,0,0.167455
1978 October,1.594759,1.594735,1.585836,0.187411,0.251605,0.204012,0.002254,0,0,0.173169
1978 November,1.583079,1.567222,1.520951,0.18862,0.272438,0.208974,0.002547,0,0,0.167557
1978 December,1.358596,1.668103,1.557346,0.190602,0.278067,0.231275,0.003228,0,0,0.17306
1979 January,1.297706,1.737742,1.523753,0.187637,0.302351,0.262096,0.003099,0,0,0.1826
1979 February,1.230704,1.624411,1.384518,0.172877,0.281883,0.222855,0.002535,0,0,0.165096
1979 March,1.499366,1.721406,1.546483,0.189753,0.264739,0.271516,0.003402,0,0,0.182881
1979 April,1.435641,1.660146,1.488239,0.191129,0.200369,0.265941,0.003146,0,0,0.176844
1979 May,1.560284,1.682608,1.54646,0.192442,0.163455,0.303134,0.003164,0,0,0.182782
1979 June,1.587453,1.611138,1.467104,0.186451,0.174776,0.261646,0.003204,0,0,0.176833
1979 July,1.203422,1.629516,1.503812,0.191806,0.226552,0.238414,0.003398,0,0,0.1827
1979 August,1.608066,1.656062,1.53689,0.193154,0.263316,0.222695,0.003707,0,0,0.182808
1979 September,1.450304,1.60297,1.483019,0.185644,0.237204,0.198794,0.003217,0,0,0.176891
1979 October,1.764054,1.672398,1.550085,0.19703,0.227745,0.211243,0.003607,0,0,0.182752
1979 November,1.538234,1.690776,1.524344,0.198842,0.209477,0.234286,0.003505,0,0,0.176949
1979 December,1.36435,1.787771,1.54889,0.199316,0.223959,0.238063,0.004275,0,0,0.18277
1980 January,1.55995,1.796526,1.559852,0.199998,0.215389,0.265618,0.003495,0,0,0.209829
1980 February,1.469214,1.685718,1.4641,0.187958,0.210277,0.224631,0.003357,0,0,0.19631
1980 March,1.590411,1.80576,1.56397,0.190228,0.218584,0.255676,0.003731,0,0,0.209727
1980 April,1.561384,1.647756,1.511138,0.19141,0.205,0.270552,0.003909,0,0,0.202894
1980 May,1.592429,1.67238,1.552567,0.19599,0.200541,0.303305,0.004603,0,0,0.209548
1980 June,1.599041,1.56465,1.48839,0.183336,0.199859,0.290604,0.004441,0,0,0.202723
1980 July,1.373703,1.594404,1.536791,0.184854,0.229329,0.257106,0.00467,0,0,0.209554
1980 August,1.533164,1.55439,1.512878,0.184357,0.265424,0.214693,0.004991,0,0,0.209675
1980 September,1.542645,1.557468,1.499747,0.177946,0.257127,0.194301,0.004506,0,0,0.202905
1980 October,1.62038,1.62621,1.534036,0.183907,0.267351,0.18773,0.005117,0,0,0.209717
1980 November,1.538902,1.629288,1.478142,0.184408,0.228892,0.201929,0.005002,0,0,0.202945
1980 December,1.616503,1.773954,1.547307,0.189238,0.241396,0.233998,0.004877,0,0,0.209671
1981 January,1.4707,1.729468,1.535469,0.201234,0.26228,0.236553,0.005284,0,0,0.220544
1981 February,1.582039,1.552824,1.397301,0.181949,0.238196,0.223123,0.004671,0,0,0.199248
1981 March,1.745958,1.713036,1.548617,0.197815,0.242709,0.217976,0.005237,0,0,0.220595
1981 April,0.808732,1.652443,1.488906,0.188475,0.227726,0.219717,0.004836,0,0,0.213467
1981 May,0.849935,1.676064,1.528538,0.194133,0.217546,0.2552,0.004791,0,0,0.220433
1981 June,1.373169,1.613417,1.501382,0.187893,0.233457,0.278976,0.004782,0,0,0.213237
1981 July,1.652487,1.641146,1.528288,0.188537,0.254569,0.265656,0.005256,0,0,0.220392
1981 August,1.757469,1.683253,1.5432,0.196689,0.297219,0.228409,0.005191,0,0,0.220428
1981 September,1.82301,1.556932,1.497096,0.190068,0.269115,0.188516,0.005224,0,0,0.21348
1981 October,1.901556,1.621633,1.53961,0.194736,0.226731,0.191231,0.005153,0,0,0.220581
1981 November,1.70828,1.563094,1.493958,0.192155,0.251301,0.200541,0.004498,0,0,0.213437
1981 December,1.703439,1.695577,1.543653,0.193697,0.286743,0.252071,0.004513,0,0,0.22044
1982 January,1.493082,1.709564,1.529999,0.189367,0.284331,0.284215,0.003975,0,0,0.226251
1982 February,1.582727,1.566672,1.413234,0.169421,0.223538,0.281593,0.003656,0,0,0.204375
1982 March,1.866808,1.657136,1.558385,0.188639,0.251971,0.315347,0.00322,0,0,0.226157
1982 April,1.636501,1.563588,1.49488,0.179063,0.241222,0.295061,0.003247,0,0,0.218821
1982 May,1.581793,1.534804,1.561279,0.182224,0.239606,0.295887,0.003773,0,0,0.226135
1982 June,1.594981,1.488544,1.504421,0.175462,0.26604,0.295552,0.004556,0,0,0.218866
1982 July,1.346238,1.509104,1.556708,0.181566,0.281997,0.288273,0.004792,0,0,0.226202
1982 August,1.621179,1.476208,1.552329,0.182981,0.276671,0.252259,0.004776,0,0,0.226168
1982 September,1.511162,1.415556,1.513962,0.176356,0.281149,0.210219,0.004581,0,0,0.218947
1982 October,1.575678,1.44434,1.564521,0.183675,0.257422,0.208623,0.004877,0,0,0.226373
1982 November,1.424519,1.45976,1.513324,0.186852,0.257281,0.245861,0.005122,0,0,0.218948
1982 December,1.404082,1.493684,1.545903,0.195471,0.269921,0.292668,0.004053,0,0,0.22621
1983 January,1.383344,1.571403,1.563703,0.187977,0.273422,0.310615,0.005087,0,0.000002,0.246575
1983 February,1.337542,1.363498,1.422375,0.169338,0.242067,0.296625,0.003913,0,0,0.222738
1983 March,1.519295,1.402675,1.564295,0.183335,0.260523,0.32173,0.00451,0,0.000003,0.24661
1983 April,1.36363,1.374733,1.52696,0.173392,0.243561,0.318603,0.004227,0,0.000002,0.238625
1983 May,1.393885,1.371321,1.551935,0.177696,0.240465,0.331656,0.003434,0,0.000003,0.246647
1983 June,1.362747,1.328297,1.508081,0.17535,0.263376,0.326237,0.004518,0,0.000002,0.238736
1983 July,1.217557,1.376296,1.552759,0.18312,0.279191,0.298715,0.005627,0,0.000001,0.246651
1983 August,1.616213,1.352142,1.560507,0.185846,0.285725,0.274189,0.007404,0,0,0.246695
1983 September,1.55052,1.287393,1.528474,0.184495,0.272705,0.23065,0.006764,0,0.000004,0.238755
1983 October,1.582319,1.353075,1.576962,0.190841,0.281314,0.220423,0.007091,0,0.000005,0.246732
1983 November,1.51462,1.349385,1.526044,0.188936,0.272735,0.26194,0.006311,0,0.000004,0.23878
1983 December,1.404999,1.46317,1.509699,0.183781,0.287465,0.335876,0.005025,0,0.000001,0.246871
1984 January,1.494935,1.70249,1.594432,0.185709,0.317844,0.313504,0.005094,-0.000001,0,0.251483
1984 February,1.621477,1.478481,1.492671,0.18078,0.308326,0.293845,0.006222,0.000001,0.000002,0.235169
1984 March,1.794345,1.521124,1.559208,0.18901,0.296499,0.32067,0.006838,0.000002,0.000002,0.251529
1984 April,1.601246,1.488426,1.542058,0.185202,0.262738,0.315985,0.006748,0.000003,0.000006,0.243277
1984 May,1.784422,1.484727,1.610173,0.190756,0.280471,0.335607,0.006473,0.000007,0.000008,0.251408
1984 June,1.681606,1.437914,1.540306,0.184459,0.274321,0.303719,0.006283,0.00001,0.000006,0.243303
1984 July,1.646026,1.491238,1.597506,0.19304,0.306687,0.289982,0.005997,0.000003,0.000005,0.251632
1984 August,1.999007,1.469435,1.583928,0.193402,0.319793,0.264894,0.007509,0.000009,0.000003,0.251638
1984 September,1.738428,1.400102,1.564828,0.189811,0.316027,0.220536,0.006763,0.00001,0.000005,0.243596
1984 October,1.535976,1.47165,1.601235,0.19485,0.268621,0.220205,0.007424,0.000007,0.000009,0.251974
1984 November,1.417188,1.46868,1.562271,0.191858,0.266462,0.234699,0.007331,0.000004,0.000009,0.244068
1984 December,1.40456,1.593666,1.599623,0.194892,0.334742,0.272166,0.008127,0,0.000013,0.252042
1985 January,1.492863,1.615285,1.571371,0.192482,0.384371,0.290793,0.008086,0.000005,0.000007,0.256315
1985 February,1.47039,1.467027,1.465631,0.173376,0.32729,0.273175,0.007141,-0.000001,0.000011,0.231512
1985 March,1.700255,1.464106,1.635269,0.189232,0.32972,0.260344,0.008314,0.000001,0.000007,0.256336
1985 April,1.673948,1.379719,1.573534,0.181048,0.28104,0.258039,0.007281,0.000013,0.000006,0.247599
1985 May,1.714221,1.365195,1.641939,0.188492,0.304823,0.279498,0.007571,0.000015,0.000004,0.255881
1985 June,1.601684,1.318821,1.569787,0.182773,0.32755,0.252373,0.007294,0.000016,0.000004,0.247643
1985 July,1.514022,1.350741,1.608978,0.185432,0.373727,0.225387,0.008019,0.000011,0.000001,0.256159
1985 August,1.741329,1.347676,1.58271,0.188549,0.369775,0.211206,0.008381,0.000021,0.000004,0.256301
1985 September,1.617873,1.320837,1.557938,0.180266,0.366541,0.198288,0.007966,0.000014,0.000009,0.247997
1985 October,1.753049,1.376261,1.612794,0.190422,0.331461,0.211589,0.007626,0.00001,0.000005,0.256175
1985 November,1.514883,1.380646,1.548942,0.190018,0.320428,0.242115,0.009416,0.000003,0.000002,0.24807
1985 December,1.530649,1.594066,1.623513,0.198681,0.358837,0.267386,0.010325,0.000002,0.000001,0.256246
1986 January,1.711531,1.590844,1.642838,0.201359,0.383159,0.226352,0.010526,0.000007,0.000002,0.249178
1986 February,1.588455,1.379224,1.489759,0.180339,0.346156,0.245152,0.00904,0.000006,0.000002,0.224922
1986 March,1.695601,1.464062,1.620595,0.18884,0.325549,0.30028,0.009403,0.000011,0.000007,0.248837
1986 April,1.636466,1.315141,1.542319,0.17347,0.322413,0.290609,0.008479,0.000014,0.000006,0.240788
1986 May,1.597618,1.340462,1.588991,0.181599,0.337725,0.287656,0.008568,0.000019,0.000008,0.248822
1986 June,1.586797,1.282181,1.50046,0.171302,0.331481,0.27726,0.009295,0.000015,0.000005,0.240837
1986 July,1.48125,1.323357,1.556998,0.177426,0.379718,0.254396,0.009862,0.000017,0.000005,0.249011
1986 August,1.671805,1.32336,1.505564,0.170045,0.396534,0.22381,0.009839,0.000017,0.000005,0.249176
1986 September,1.638899,1.258956,1.449089,0.167258,0.387113,0.222779,0.008245,0.000015,0.000001,0.241074
1986 October,1.750646,1.333276,1.513707,0.173819,0.383103,0.225018,0.008105,0.000013,0.000002,0.248974
1986 November,1.538049,1.414165,1.463769,0.178774,0.369674,0.244175,0.007015,0.000009,0,0.241122
1986 December,1.612349,1.515772,1.501771,0.184872,0.417484,0.273692,0.009299,0.000003,0,0.249352
1987 January,1.637161,1.586308,1.52475,0.186605,0.417417,0.267809,0.009317,0.000001,0.000001,0.244137
1987 February,1.570964,1.425523,1.362304,0.172344,0.382159,0.223722,0.00864,0.000006,0,0.220511
1987 March,1.66293,1.505676,1.521908,0.188408,0.389382,0.245143,0.009473,0.000009,0,0.244157
1987 April,1.557431,1.403143,1.478681,0.181405,0.349992,0.232573,0.008929,0.000013,0.000002,0.236139
1987 May,1.550039,1.387096,1.498871,0.186967,0.358374,0.255627,0.009382,0.000013,0.000003,0.244007
1987 June,1.689563,1.328514,1.440465,0.180127,0.38176,0.220689,0.009635,0.000017,0.00001,0.236522
1987 July,1.529582,1.347142,1.483536,0.186537,0.41826,0.21334,0.009961,0.000019,0.000013,0.244359
1987 August,1.769251,1.371097,1.476146,0.185259,0.431801,0.194652,0.009923,0.000012,0.000002,0.244396
1987 September,1.808062,1.307841,1.427745,0.1805,0.414191,0.191635,0.009257,0.000008,0.000002,0.236298
1987 October,1.885113,1.422251,1.503778,0.188945,0.381045,0.189215,0.009375,0.000006,0.000001,0.244059
1987 November,1.73714,1.464474,1.461107,0.186788,0.390924,0.177943,0.009064,0.000003,0.000001,0.236197
1987 December,1.743868,1.586754,1.495495,0.191151,0.438627,0.222161,0.009312,0.000002,0.000002,0.244104
1988 January,1.649486,1.633857,1.483309,0.185968,0.473469,0.230477,0.009312,0.000005,0.000007,0.255331
1988 February,1.681541,1.487722,1.408518,0.176879,0.447892,0.199789,0.008013,0.000008,0,0.238853
1988 March,1.838611,1.551993,1.505605,0.192755,0.465555,0.204359,0.009341,0.000013,0,0.255385
1988 April,1.650325,1.42074,1.442048,0.18441,0.424786,0.200293,0.008454,0.000005,0,0.247241
1988 May,1.621095,1.454528,1.479516,0.19168,0.430975,0.222701,0.00831,0.000013,0,0.255188
1988 June,1.674653,1.382694,1.421592,0.184213,0.467326,0.197723,0.008815,0.000014,0,0.24734
1988 July,1.515623,1.40097,1.445528,0.190593,0.528281,0.17742,0.009589,0.000012,0,0.255582
1988 August,1.932989,1.420649,1.452662,0.190365,0.519872,0.172238,0.009149,0.000012,0,0.255815
1988 September,1.824305,1.340479,1.373713,0.184794,0.49056,0.170174,0.008772,0.00001,0,0.247357
1988 October,1.772923,1.456516,1.442483,0.195685,0.451551,0.158144,0.008939,0.000001,0,0.255517
1988 November,1.817499,1.483904,1.39606,0.189973,0.419662,0.192932,0.008874,0.000001,0,0.247096
1988 December,1.758589,1.564545,1.427896,0.192516,0.467038,0.208016,0.00877,0.000001,0.000001,0.255345
1989 January,1.793202,1.584724,1.427124,0.19741,0.490288,0.22404,0.014134,0.002881,0.001521,0.266572
1989 February,1.64259,1.464457,1.264843,0.172151,0.409824,0.19931,0.012761,0.003105,0.002331,0.243927
1989 March,1.947441,1.552134,1.361967,0.195708,0.419471,0.242358,0.015001,0.00437,0.002671,0.268315
1989 April,1.686912,1.4781,1.35225,0.192146,0.354476,0.257728,0.013095,0.004844,0.002484,0.251946
1989 May,1.802733,1.497715,1.405355,0.192138,0.405739,0.30024,0.013857,0.005237,0.002131,0.241235
1989 June,1.716177,1.436696,1.32664,0.172962,0.454815,0.277046,0.013664,0.005346,0.001631,0.248447
1989 July,1.45087,1.464506,1.338444,0.182829,0.553819,0.242678,0.013872,0.005747,0.001482,0.261318
1989 August,1.989536,1.454001,1.356494,0.178338,0.581511,0.216086,0.013414,0.005594,0.001075,0.276985
1989 September,1.853718,1.383898,1.31333,0.169913,0.474507,0.202515,0.01252,0.00518,0.002923,0.264811
1989 October,1.957229,1.451818,1.34001,0.175292,0.460972,0.214892,0.013157,0.004716,0.001832,0.276462
1989 November,1.89987,1.512263,1.311278,0.1702,0.459296,0.226777,0.012562,0.003884,0.001281,0.276819
1989 December,1.619899,1.566964,1.319148,0.159257,0.537442,0.233595,0.013504,0.00355,0.000671,0.28252
1990 January,1.978864,1.664082,1.356802,0.182588,0.583273,0.253277,0.015036,0.003132,0.003134,0.236692
1990 February,1.792179,1.48246,1.217552,0.168038,0.528705,0.262555,0.013739,0.003395,0.002405,0.226266
1990 March,2.001389,1.572566,1.336515,0.180849,0.487694,0.301333,0.015116,0.004685,0.002551,0.244248
1990 April,1.817216,1.490787,1.288848,0.171138,0.407576,0.276175,0.01208,0.00516,0.004373,0.23264
1990 May,1.890398,1.507534,1.317636,0.178002,0.454445,0.291917,0.01414,0.005863,0.003644,0.210108
1990 June,1.848615,1.465937,1.236416,0.167178,0.490288,0.300121,0.014647,0.005821,0.004227,0.178544
1990 July,1.744221,1.490656,1.289753,0.175854,0.567668,0.257581,0.014779,0.006182,0.001239,0.219713
1990 August,2.007104,1.49638,1.310137,0.186575,0.590033,0.230354,0.014592,0.006146,0.000729,0.245632
1990 September,1.816545,1.433396,1.256945,0.183104,0.513067,0.187254,0.013746,0.005468,0.000947,0.239932
1990 October,2.041296,1.558757,1.356032,0.197563,0.459207,0.203213,0.014398,0.005037,0.002114,0.235437
1990 November,1.895815,1.555941,1.285266,0.19381,0.476554,0.219084,0.013805,0.004014,0.002405,0.220256
1990 December,1.653907,1.60766,1.319286,0.190015,0.545839,0.263525,0.014668,0.00385,0.001239,0.245644
1991 January,1.874105,1.65825,1.348488,0.194325,0.570005,0.280572,0.015446,0.003279,0.000648,0.269531
1991 February,1.803532,1.459117,1.240248,0.180688,0.501792,0.240524,0.013497,0.003534,0.003026,0.204535
1991 March,1.855883,1.580541,1.356772,0.198668,0.514987,0.282566,0.015382,0.004624,0.002161,0.214374
1991 April,1.7296,1.506171,1.306483,0.190106,0.43646,0.281008,0.013871,0.005095,0.002485,0.190452
1991 May,1.741999,1.49687,1.332085,0.195505,0.490175,0.309826,0.014196,0.006204,0.003782,0.206579
1991 June,1.677008,1.426773,1.273737,0.185862,0.568322,0.280947,0.015048,0.0063,0.001621,0.209721
1991 July,1.741691,1.440952,1.320983,0.191386,0.636742,0.26605,0.01507,0.006738,0.001621,0.210055
1991 August,1.940527,1.446753,1.315446,0.192002,0.613027,0.237525,0.014928,0.006563,0.002377,0.250834
1991 September,1.780638,1.439983,1.281968,0.185351,0.543843,0.201861,0.01403,0.005934,0.002161,0.267735
1991 October,1.972528,1.554498,1.337233,0.198969,0.49959,0.193296,0.014793,0.005207,0.00443,0.249408
1991 November,1.78559,1.573539,1.275033,0.193856,0.485359,0.20213,0.015411,0.004229,0.00443,0.241541
1991 December,1.733324,1.64529,1.312351,0.199022,0.561832,0.239639,0.015954,0.003901,0.002053,0.267033
1992 January,1.912575,1.633184,1.323432,0.19909,0.605734,0.23595,0.015635,0.003272,0.001551,0.279197
1992 February,1.785995,1.44034,1.242762,0.187062,0.552907,0.196021,0.013827,0.003545,0.005333,0.230468
1992 March,1.867112,1.519445,1.321231,0.199737,0.479942,0.23766,0.015679,0.004872,0.003393,0.221177
1992 April,1.792628,1.490789,1.268896,0.193179,0.442584,0.212719,0.014254,0.005511,0.003297,0.210172
1992 May,1.745108,1.529131,1.288914,0.199847,0.477764,0.242426,0.015069,0.006235,0.00097,0.190537
1992 June,1.740723,1.487723,1.247112,0.194171,0.535959,0.244966,0.014876,0.006276,0.000776,0.230985
1992 July,1.759429,1.535564,1.282172,0.19842,0.586886,0.214207,0.015109,0.006733,0.000776,0.25015
1992 August,1.838808,1.49489,1.244538,0.193114,0.614183,0.198457,0.015214,0.006652,0.001454,0.269662
1992 September,1.819368,1.48053,1.223241,0.189439,0.533178,0.1833,0.01418,0.005973,0.003297,0.251511
1992 October,1.87785,1.578641,1.28121,0.203069,0.510817,0.18027,0.014943,0.005399,0.002521,0.269545
1992 November,1.747036,1.558985,1.222198,0.200159,0.531147,0.212065,0.014869,0.004403,0.002909,0.264383
1992 December,1.807501,1.625878,1.277158,0.205675,0.608106,0.259394,0.015043,0.003995,0.003587,0.263891
1993 January,1.74178,1.613188,1.251589,0.204676,0.620536,0.268521,0.015945,0.003369,0.00255,0.274257
1993 February,1.654312,1.449784,1.127477,0.189088,0.539056,0.216725,0.015426,0.003711,0.00051,0.240964
1993 March,1.838782,1.592044,1.253948,0.211328,0.489546,0.253399,0.016137,0.005216,0.005356,0.263204
1993 April,1.699961,1.509959,1.197348,0.20549,0.453758,0.274886,0.01599,0.005915,0.003826,0.226859
1993 May,1.585486,1.535118,1.231076,0.204106,0.529053,0.316469,0.01437,0.006424,0.003826,0.196012
1993 June,1.741009,1.483411,1.182282,0.199929,0.552722,0.287581,0.014436,0.006332,0.000893,0.197445
1993 July,1.524709,1.515159,1.202568,0.205155,0.593499,0.254885,0.01578,0.006907,0.001403,0.212707
1993 August,1.641951,1.533519,1.215054,0.205847,0.590418,0.216292,0.016007,0.006902,0.000765,0.262322
1993 September,1.721717,1.503423,1.167812,0.197534,0.525081,0.188068,0.015439,0.006237,0.001403,0.250551
1993 October,1.746732,1.586558,1.229617,0.208363,0.466738,0.18759,0.015349,0.005503,0.002933,0.257383
1993 November,1.714418,1.591221,1.202624,0.190373,0.492243,0.195571,0.015174,0.004503,0.004718,0.262183
1993 December,1.724796,1.670654,1.232993,0.186112,0.557848,0.231625,0.015621,0.004155,0.002805,0.264559
1994 January,1.653429,1.659758,1.225657,0.19,0.594162,0.220026,0.015695,0.003625,0,0.306708
1994 February,1.759371,1.48728,1.099501,0.1735,0.520733,0.21085,0.014267,0.003848,0.001036,0.244594
1994 March,2.069239,1.665073,1.212863,0.196146,0.511829,0.243412,0.014471,0.005506,0.005639,0.261461
1994 April,1.887272,1.58242,1.150506,0.191073,0.451444,0.254767,0.01476,0.006002,0.004258,0.236035
1994 May,1.771421,1.637923,1.202537,0.201188,0.507184,0.26713,0.014543,0.006594,0.003798,0.20248
1994 June,1.86076,1.562982,1.150243,0.19722,0.540902,0.258029,0.013144,0.006716,0.003798,0.215744
1994 July,1.67204,1.619291,1.168858,0.206132,0.61795,0.241004,0.013897,0.006986,0.001956,0.274451
1994 August,2.026723,1.626278,1.176639,0.207031,0.628207,0.209396,0.015199,0.006778,0.001381,0.251577
1994 September,1.906248,1.54397,1.149932,0.203928,0.581426,0.171008,0.014102,0.006323,0.003222,0.238967
1994 October,1.837246,1.603714,1.197106,0.205627,0.529943,0.180671,0.014475,0.005872,0.003683,0.271599
1994 November,1.862961,1.64877,1.15333,0.206587,0.577783,0.197506,0.014295,0.004629,0.005064,0.261436
1994 December,1.895373,1.710555,1.215393,0.212547,0.632314,0.229658,0.014616,0.004228,0.001726,0.262482
1995 January,1.90566,1.640179,1.201456,0.210302,0.665531,0.256445,0.013067,0.003471,0.000059,0.243462
1995 February,1.809241,1.462862,1.103419,0.189242,0.544873,0.258244,0.009702,0.003777,0.000241,0.206657
1995 March,2.005865,1.623599,1.186754,0.209008,0.545102,0.294609,0.01067,0.005258,0.000047,0.23982
