"",HSBC_Holdings,Genevalor_Benbassat,Phoenix_Holdings,Thema_Fund,Herald_Lux_Fund,Capital_Bank_Austria,Cohmad_securities,Bank_Medici,UniCredit_SpA,Pioneer_Alt_Investments,Rothschild_Cie,Access_Int_Advisors,BNP_Paribas,EIM_Group,Nipponkoa_Insurance,Mirabaud_Cie,Zeus_Partners_Ltd,Banco_Safra,CMG,Brighton_Co,Avellino_Bienes,Neu_Privat_Bank,Banco_Santander,Optimal_Strategic_US,Sumitomo_Life_Ins,Fukoku_Mutual_Life,Fix_Asset_Mgt,Fairfield_Greenwich,Nordea_Bank_AB,Banque_Benedict_HentchCie,Genium_Advisors,Great_Eastern_Holdings,Prospect_Capital,Union_Bancaire_Privee,Sterling_Equities,Nomura_Holdings,Stanford_Capital_Mgt,FIM_Advisers,M&B_Capital_Advisors,Man_Group_PLC,Notz_Stucki_Cie,Credicorp_Ltd,S&P_Investment,EFG_International_AG,Maxam_Absolute_Return_Fund,Tremont_Group_Holdings,Opperheimer_Funds,Bradean_Alternatives_Lts,Rye_Investment_Funds,Austin_Capital,Meridian_Capital_Partners,Banco_Bilbao_Vizcaya_Argentaria,Kingate_Global_Fund,Kingate_Euro_Fund,Ascot_Partners,Gabriel_Capital,Sterling_Stamos_Capital_Mgt,Spring_Mountain_Capital,Ariel_Capital,Fortis_Bank_Nederland,Bernard_Madoff_Investment
Bradean_Alternatives_Lts,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",""
Rye_Investment_Funds,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",""
Austin_Capital,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",""
Meridian_Capital_Partners,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",""
Banco_Bilbao_Vizcaya_Argentaria,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","",""
Kingate_Global_Fund,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
Kingate_Euro_Fund,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
Ascot_Partners,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","",""
Gabriel_Capital,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Sterling_Stamos_Capital_Mgt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","",""
Spring_Mountain_Capital,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","",""
Ariel_Capital,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","",""
Fortis_Bank_Nederland,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",""
Bernard_Madoff_Investment,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
