Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2000","2000","7021","Annual value","SLC","37000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2001","2001","7021","Annual value","SLC","37000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2002","2002","7021","Annual value","SLC","38500","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2003","2003","7021","Annual value","SLC","38700","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2004","2004","7021","Annual value","SLC","38600","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2005","2005","7021","Annual value","SLC","39000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2006","2006","7021","Annual value","SLC","42000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2007","2007","7021","Annual value","SLC","44000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2008","2008","7021","Annual value","SLC","40000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2009","2009","7021","Annual value","SLC","44000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2010","2010","7021","Annual value","SLC","37000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2011","2011","7021","Annual value","SLC","39000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2012","2012","7021","Annual value","SLC","40000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2013","2013","7021","Annual value","SLC","52000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2014","2014","7021","Annual value","SLC","50083.3","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2015","2015","7021","Annual value","SLC","49000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2016","2016","7021","Annual value","SLC","47335.9","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2017","2017","7021","Annual value","SLC","54979.4","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2018","2018","7021","Annual value","SLC","46997.7","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","515","Apples","2019","2019","7021","Annual value","SLC","38086.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1993","1993","7021","Annual value","USD","461","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","323.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1996","1996","7021","Annual value","USD","325.4","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1997","1997","7021","Annual value","USD","253.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1998","1998","7021","Annual value","USD","248.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","1999","1999","7021","Annual value","USD","270.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2000","2000","7021","Annual value","USD","257.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2001","2001","7021","Annual value","USD","257.9","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2002","2002","7021","Annual value","USD","274.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2003","2003","7021","Annual value","USD","317.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2004","2004","7021","Annual value","USD","375.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2005","2005","7021","Annual value","USD","390.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2006","2006","7021","Annual value","USD","428.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2007","2007","7021","Annual value","USD","486.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2008","2008","7021","Annual value","USD","476.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2009","2009","7021","Annual value","USD","463.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2010","2010","7021","Annual value","USD","356","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2011","2011","7021","Annual value","USD","386.5","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2012","2012","7021","Annual value","USD","369.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2013","2013","7021","Annual value","USD","492.1","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2014","2014","7021","Annual value","USD","474.8","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2015","2015","7021","Annual value","USD","389","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2016","2016","7021","Annual value","USD","381.3","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2017","2017","7021","Annual value","USD","461.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2018","2018","7021","Annual value","USD","435.2","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","515","Apples","2019","2019","7021","Annual value","USD","346.7","","Official data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1993","1993","7021","Annual value","","67.2","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1994","1994","7021","Annual value","","96.08","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1995","1995","7021","Annual value","","61.47","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1996","1996","7021","Annual value","","69.66","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1997","1997","7021","Annual value","","77.24","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1998","1998","7021","Annual value","","76.83","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1999","1999","7021","Annual value","","76.22","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2000","2000","7021","Annual value","","75.81","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2001","2001","7021","Annual value","","75.81","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2002","2002","7021","Annual value","","78.88","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2003","2003","7021","Annual value","","79.29","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2004","2004","7021","Annual value","","79.09","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2005","2005","7021","Annual value","","79.91","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2006","2006","7021","Annual value","","86.05","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2007","2007","7021","Annual value","","90.15","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2008","2008","7021","Annual value","","81.96","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2009","2009","7021","Annual value","","90.15","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2010","2010","7021","Annual value","","75.81","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2011","2011","7021","Annual value","","79.91","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2012","2012","7021","Annual value","","81.96","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2013","2013","7021","Annual value","","106.54","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2014","2014","7021","Annual value","","102.62","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2015","2015","7021","Annual value","","100.4","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2016","2016","7021","Annual value","","96.99","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2017","2017","7021","Annual value","","112.65","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2018","2018","7021","Annual value","","96.29","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2019","2019","7021","Annual value","","78.04","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","1995","1995","7021","Annual value","LCU","19430","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2002","2002","7021","Annual value","LCU","78000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2003","2003","7021","Annual value","LCU","84000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2004","2004","7021","Annual value","LCU","87000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2005","2005","7021","Annual value","LCU","92000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2006","2006","7021","Annual value","LCU","84000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2007","2007","7021","Annual value","LCU","88000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2008","2008","7021","Annual value","LCU","92000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2009","2009","7021","Annual value","LCU","97000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7021","Annual value","LCU","102000","","Official data"
