country,state,county,lat,lng,type,measure,beds,population,year,source,source_url
US,AR,montgomery,35.201050,-91.831833,ICU,1000HAB,0.000000,9059,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,nevada,35.201050,-91.831833,ICU,1000HAB,0.000000,8528,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,newton,35.201050,-91.831833,ICU,1000HAB,0.000000,7898,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,ouachita,35.201050,-91.831833,ICU,1000HAB,0.328165,24378,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,perry,35.201050,-91.831833,ICU,1000HAB,0.000000,10320,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,phillips,35.201050,-91.831833,ICU,1000HAB,0.307409,19518,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,pike,35.201050,-91.831833,ICU,1000HAB,0.000000,10893,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,poinsett,35.201050,-91.831833,ICU,1000HAB,0.000000,24098,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,polk,35.201050,-91.831833,ICU,1000HAB,0.296853,20212,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,pope,35.201050,-91.831833,ICU,1000HAB,0.173578,63372,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,prairie,35.201050,-91.831833,ICU,1000HAB,0.000000,8309,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,pulaski,35.201050,-91.831833,ICU,1000HAB,0.532012,392848,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,randolph,35.201050,-91.831833,ICU,1000HAB,0.114194,17514,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,saline,35.201050,-91.831833,ICU,1000HAB,0.137632,116252,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,scott,35.201050,-91.831833,ICU,1000HAB,0.000000,10584,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,searcy,35.201050,-91.831833,ICU,1000HAB,0.000000,7925,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,sebastian,35.201050,-91.831833,ICU,1000HAB,0.541763,127362,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,sevier,35.201050,-91.831833,ICU,1000HAB,0.000000,17206,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,sharp,35.201050,-91.831833,ICU,1000HAB,0.000000,17041,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,st. francis,35.201050,-91.831833,ICU,1000HAB,0.224820,26688,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,stone,35.201050,-91.831833,ICU,1000HAB,0.000000,12443,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,union,35.201050,-91.831833,ICU,1000HAB,0.399780,40022,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,van buren,35.201050,-91.831833,ICU,1000HAB,0.000000,16751,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,washington,35.201050,-91.831833,ICU,1000HAB,0.272707,223683,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,white,35.201050,-91.831833,ICU,1000HAB,0.165172,78706,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,woodruff,35.201050,-91.831833,ICU,1000HAB,0.000000,6763,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AR,yell,35.201050,-91.831833,ICU,1000HAB,0.000000,21601,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,apache,34.048928,-111.093731,ICU,1000HAB,0.000000,71602,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,cochise,34.048928,-111.093731,ICU,1000HAB,0.094850,126516,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,coconino,34.048928,-111.093731,ICU,1000HAB,0.295732,138639,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,gila,34.048928,-111.093731,ICU,1000HAB,0.150532,53145,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,graham,34.048928,-111.093731,ICU,1000HAB,0.000000,37700,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,greenlee,34.048928,-111.093731,ICU,1000HAB,0.000000,9368,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,la paz,34.048928,-111.093731,ICU,1000HAB,0.146506,20477,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,maricopa,34.048928,-111.093731,ICU,1000HAB,0.241607,4155501,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,mohave,34.048928,-111.093731,ICU,1000HAB,0.390833,204691,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,navajo,34.048928,-111.093731,ICU,1000HAB,0.111212,107902,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,pima,34.048928,-111.093731,ICU,1000HAB,0.293867,1007257,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,pinal,34.048928,-111.093731,ICU,1000HAB,0.054249,405537,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,santa cruz,34.048928,-111.093731,ICU,1000HAB,0.000000,46358,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,yavapai,34.048928,-111.093731,ICU,1000HAB,0.176493,220972,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,AZ,yuma,34.048928,-111.093731,ICU,1000HAB,0.205599,204281,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,alameda,36.778261,-119.417932,ICU,1000HAB,0.173047,1629615,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,alpine,36.778261,-119.417932,ICU,1000HAB,0.000000,1203,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,amador,36.778261,-119.417932,ICU,1000HAB,0.160832,37306,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,butte,36.778261,-119.417932,ICU,1000HAB,0.190935,225207,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,calaveras,36.778261,-119.417932,ICU,1000HAB,0.000000,45057,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,colusa,36.778261,-119.417932,ICU,1000HAB,0.000000,21479,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,contra costa,36.778261,-119.417932,ICU,1000HAB,0.145059,1123678,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,del norte,36.778261,-119.417932,ICU,1000HAB,0.218643,27442,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,el dorado,36.778261,-119.417932,ICU,1000HAB,0.151339,185015,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,fresno,36.778261,-119.417932,ICU,1000HAB,0.168791,971616,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,glenn,36.778261,-119.417932,ICU,1000HAB,0.000000,27935,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,humboldt,36.778261,-119.417932,ICU,1000HAB,0.236180,135490,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,imperial,36.778261,-119.417932,ICU,1000HAB,0.155593,179957,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,inyo,36.778261,-119.417932,ICU,1000HAB,0.219841,18195,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,kern,36.778261,-119.417932,ICU,1000HAB,0.163870,878744,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,kings,36.778261,-119.417932,ICU,1000HAB,0.146488,150183,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,lake,36.778261,-119.417932,ICU,1000HAB,0.124815,64095,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,lassen,36.778261,-119.417932,ICU,1000HAB,0.000000,31470,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,los angeles,36.778261,-119.417932,ICU,1000HAB,0.210376,10105722,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,madera,36.778261,-119.417932,ICU,1000HAB,0.064750,154440,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,marin,36.778261,-119.417932,ICU,1000HAB,0.253054,260814,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,mariposa,36.778261,-119.417932,ICU,1000HAB,0.000000,17658,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,mendocino,36.778261,-119.417932,ICU,1000HAB,0.160005,87497,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,merced,36.778261,-119.417932,ICU,1000HAB,0.089757,267390,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,modoc,36.778261,-119.417932,ICU,1000HAB,0.000000,9017,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,mono,36.778261,-119.417932,ICU,1000HAB,0.142268,14058,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,monterey,36.778261,-119.417932,ICU,1000HAB,0.062331,433168,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,napa,36.778261,-119.417932,ICU,1000HAB,0.226942,141005,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,nevada,36.778261,-119.417932,ICU,1000HAB,0.101176,98838,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,orange,36.778261,-119.417932,ICU,1000HAB,0.206286,3155816,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,placer,36.778261,-119.417932,ICU,1000HAB,0.186674,374985,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,plumas,36.778261,-119.417932,ICU,1000HAB,0.000000,18724,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,riverside,36.778261,-119.417932,ICU,1000HAB,0.149044,2355002,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,sacramento,36.778261,-119.417932,ICU,1000HAB,0.264812,1495400,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san benito,36.778261,-119.417932,ICU,1000HAB,0.136354,58671,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san bernardino,36.778261,-119.417932,ICU,1000HAB,0.193285,2121220,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san diego,36.778261,-119.417932,ICU,1000HAB,0.173587,3283665,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san francisco,36.778261,-119.417932,ICU,1000HAB,0.389928,864263,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san joaquin,36.778261,-119.417932,ICU,1000HAB,0.167092,724153,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san luis obispo,36.778261,-119.417932,ICU,1000HAB,0.164216,280119,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,san mateo,36.778261,-119.417932,ICU,1000HAB,0.171589,763450,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,santa barbara,36.778261,-119.417932,ICU,1000HAB,0.185103,442996,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,santa clara,36.778261,-119.417932,ICU,1000HAB,0.163769,1911226,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,santa cruz,36.778261,-119.417932,ICU,1000HAB,0.080509,273263,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,shasta,36.778261,-119.417932,ICU,1000HAB,0.452719,178919,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,sierra,36.778261,-119.417932,ICU,1000HAB,0.000000,2885,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,siskiyou,36.778261,-119.417932,ICU,1000HAB,0.091891,43530,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,solano,36.778261,-119.417932,ICU,1000HAB,0.211503,434981,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,sonoma,36.778261,-119.417932,ICU,1000HAB,0.163691,500943,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,stanislaus,36.778261,-119.417932,ICU,1000HAB,0.164276,535684,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,sutter,36.778261,-119.417932,ICU,1000HAB,0.000000,95583,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,tehama,36.778261,-119.417932,ICU,1000HAB,0.126488,63247,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,trinity,36.778261,-119.417932,ICU,1000HAB,0.000000,13037,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,tulare,36.778261,-119.417932,ICU,1000HAB,0.111157,458809,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
US,CA,tuolumne,36.778261,-119.417932,ICU,1000HAB,0.111319,53899,2019,khn,https://khn.org/news/as-coronavirus-spreads-widely-millions-of-older-americans-live-in-counties-with-no-icu-beds/
